Anthology Publication Year,Anthology Type,Anthology Title,Collection Type,Source Title,Source Genre,Original Publication Year,Publication Decade,Author,Author Birth Year,Author Birth Decade,Author Gender,Anthology Section Header,Anthology Edition,Anthology Editors
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,"The Richer, The Poorer",Short Story,,0s,Dorothy West,1907,1900s,Female,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Wharf Rats,Short Story,1926,1920s,Eric Walrond,1898,1890s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,A Long Day in November,Short Story,1971,1970s,Ernest Gaines,1933,1930s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Singing Dinah's Song,Short Story,,0s,Frank London Brown,1927,1920s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Health Card,Short Story,,0s,Frank Yerby,1916,1910s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,We're the Only Colored People Here,Short Story,1945,1940s,Gwendolyn Brooks,1917,1910s,Female,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,"This Morning, This Evening, So Soon",Short Story,1965,1960s,James Baldwin,1924,1920s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Son in the Afternoon,Short Story,1962,1960s,John A. Williams,1925,1920s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Santa Claus is a White Man ,Short Story,1939,1930s,John Henrik Clarke,1915,1910s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Stick Up,Short Story,,0s,John O. Killens,1916,1910s,Male,,1st Ed,Langston Hughes; Gloria Naylor
